timestamp,speed_hall,speed_gps,latitude,longitude,gps_valid,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,obstacle_distance,deterministic_alert,sensor_valid
0,40.56,39.61,12.971555,77.594545,True,0.142,0.106,9.957,-0.826,-0.156,-0.94,121.86,0,True
100,40.02,39.07,12.97154,77.59463,True,0.027,-0.168,9.836,0.619,-0.987,0.612,169.81,0,True
200,39.36,38.67,12.971691,77.594567,True,-0.244,-0.242,9.939,0.207,0.614,0.459,153.62,0,True
300,41.89,41.65,12.97161,77.594666,True,0.071,0.217,9.831,0.409,-0.908,-0.544,128.94,0,True
400,38.32,37.78,12.97152,77.594556,True,0.081,-0.081,9.748,-0.581,-0.466,0.873,164.8,0,True
500,40.44,39.78,12.971646,77.594533,True,-0.072,0.294,9.856,0.114,0.369,0.686,177.6,0,True
600,38.92,37.98,12.971563,77.594554,True,-0.173,0.266,9.951,-0.371,0.311,-0.209,191.45,0,True
700,39.84,39.37,12.971549,77.594612,True,-0.142,0.051,9.959,-0.201,-0.561,0.995,150.95,0,True
800,38.36,37.46,12.971522,77.594625,True,0.175,-0.047,9.625,-0.237,0.992,0.058,197.11,0,True
900,41.44,40.47,12.971644,77.594636,True,0.022,-0.14,9.856,-0.777,-0.13,-0.093,195.38,0,True
1000,41.5,41.03,12.9716,77.594536,True,0.248,0.222,9.719,0.278,0.218,-0.694,176.25,0,True
1100,40.16,40.71,12.971606,77.5945,True,-0.106,-0.288,9.972,0.757,0.663,-0.385,105.79,0,True
1200,41.51,42.41,12.971517,77.594597,True,-0.258,0.156,9.906,-0.743,-0.049,0.1,126.51,0,True
1300,41.49,41.34,12.971542,77.594608,True,0.138,-0.179,9.725,0.99,0.3,-0.124,151.76,0,True
1400,38.48,37.93,12.971568,77.594618,True,-0.162,-0.168,9.628,0.262,-0.542,0.811,185.96,0,True
1500,38.28,37.76,12.971634,77.594543,True,-0.221,0.261,9.828,-0.055,0.569,0.615,119.04,0,True
